tweet_id,tweet_text,label,event,source,orig_file,timestamp
211040709124440064,#Intern #US #TATTOO #Wisconsin #Ohio #NC #PA #Florida #Colorado #Iowa #Nevada #Virginia #NV #mlb Travel Destinations---&gt;http://t.co/TIHBJKF2,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 10:23:20 +0000 2012
211111710294163457,RT @Jack4Ward: Get in on the fun every Thursday with the @csindependent #FunBrief http://ow.ly/br9Wi #CoSprings #Colorado,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 15:05:28 +0000 2012
211157222699433985,Welcome to our newest STUDENTathlete- Reagan Biechler from Colorado Springs (CO) ’13- Baseball. http://t.co/lzeiYMpq,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 18:06:19 +0000 2012
211162553659830272,Denver Post: #Colorado governor signs bill creating rules for public access to ballots http://t.co/Hmp1wQ8P #opengov,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 18:27:30 +0000 2012
211216962162933761,"Pretty sure I'm going to live in Manitou Springs, CO someday. Maybe live here and work in Colorado Springs?? #theplan",Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 22:03:42 +0000 2012
211229146611843072,Flying over the beautiful snow capped #mountains of #colorado #livingsocial #iphonesia #hdr #instagood  http://t.co/tCgmQ2xI,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 22:52:07 +0000 2012
211232623706640384,It isn't a beach but just as great #colorado #summer  http://t.co/NPi5wJ9n,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Fri Jun 08 23:05:56 +0000 2012
211281973870727170,#colorado. Told you its #amazing http://t.co/6z0Qq7qe,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Sat Jun 09 02:22:02 +0000 2012
211333983269695488,RT @xRedRoverx: #Colorado #news #crime 3 bodies found in La Plata County Friday | http://t.co/BNPYWOBu http://t.co/iLUtRFED via @9news,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Sat Jun 09 05:48:42 +0000 2012
211380242227539968,checkmate payday loans colorado springs http://t.co/8pSlcpVV,Not labeled,2012_Colorado_wildfires,T26,C:\Users\ShaownJony\Downloads\crisislex\data\AI-Crisis-Tweet-Classifier\data\CrisisLexT26\2012_Colorado_wildfires\2012_Colorado_wildfires-tweets_labeled.csv,Sat Jun 09 08:52:31 +0000 2012
